id,coachID,note,buyout,maxBonus,teamID,otherPay,totalPay,lastName,teamName,firstName,headShot,schoolPay,actualPay,lastYearBonus,season,coachType,conference,league,team_conference_id,team_conference_name,team_conference_abbreviation,team_conference___typename,team___typename,aggregatedTime,pandemicReduction,contractYearPayReduction,__typename
1877,1877,,118083333,1775000,3473,279580,13282580,Smart,Georgia,Kirby,SMG/sports_headshots/ncaaf/coach/kirby_smart_s.jpg,13003000,13003000,275000,2024,head,Southeastern Conference,CFB,8,Southeastern,SEC,Conference,Teams,2024-10-16T07:05:36.060409751Z,-1,-1,CoachesSalaries
91,91,"Bonuses paid for 2023-24 includes $100,000 connected with team academic achievement that was allocated among the staff.",60000000,1500000,3407,124200,11132775,Swinney,Clemson,Dabo,SMG/sports_headshots/ncaaf/coach/dabo_swinney_s.jpg,11008575,11008575,175000,2024,head,Atlantic Coast Conference,CFB,1,Atlantic Coast,ACC,Conference,Teams,2024-10-16T07:05:36.060074083Z,-1,-1,CoachesSalaries
858,858,"School Pay includes $300,000 'one-time special payment' Sarkisian received on or before April 1, 2024",55044583,1850000,3488,-1,10600000,Sarkisian,Texas,Steve,SMG/sports_headshots/ncaaf/coach/steve_sarkisian_s.jpg,10600000,10600000,300000,2024,head,Southeastern Conference,CFB,8,Southeastern,SEC,Conference,Teams,2024-10-16T07:05:36.062348442Z,-1,-1,CoachesSalaries
951,951,"In addition to Total Pay, USC -- according to its federal tax records for the 2022 calendar year and a statement from the university -- paid $9,616,444 that was at least partially in connection with the $4.5 million buyout that Riley owed the University of Oklahoma for terminating his contract with that school and the taxes that Riley would have owed on that amount.",-1,-1,3467,-1,10043418,Riley,USC,Lincoln,SMG/sports_headshots/ncaaf/coach/lincoln_riley_s.jpg,10043418,10043418,-1,2024,head,Big Ten Conference,CFB,4,Big Ten,Big 10,Conference,Teams,2024-10-16T07:05:36.062176379Z,-1,-1,CoachesSalaries
1979,1979,,37276042,1550000,3439,75000,10021250,Day,Ohio State,Ryan,SMG/sports_headshots/ncaaf/coach/ryan_day_s.jpg,9946250,9946250,250000,2024,head,Big Ten Conference,CFB,4,Big Ten,Big 10,Conference,Teams,2024-10-16T07:05:36.061713456Z,-1,-1,CoachesSalaries
1970,1970,,63778333,1550000,3409,-1,10000000,Norvell,Florida State,Mike,SMG/sports_headshots/ncaaf/coach/mike_norvell_s.jpg,10000000,10000000,750000,2024,head,Atlantic Coast Conference,CFB,1,Atlantic Coast,ACC,Conference,Teams,2024-10-16T07:05:36.060359567Z,-1,-1,CoachesSalaries
4122,4122,"In addition to School Pay, Alabama paid $12,000,000 to Washington to cover the buyout that DeBoer owed that school",70050000,1175000,3478,-1,10000000,DeBoer,Alabama,Kalen,SMG/sports_headshots/ncaaf/coach/kalen_deboer_s.jpg,10000000,10000000,-1,2024,head,Southeastern Conference,CFB,8,Southeastern,SEC,Conference,Teams,2024-10-16T07:05:36.059475035Z,-1,-1,CoachesSalaries
20,20,"Bonuses Paid based on contract amendment the parties signed in February 2024 under which Kelly agreed that for the 2023 season only, his bonus for the team being eligible for playing in a bowl game would be $100,000 rather than the $500,000 otherwise called for under his contract. School Pay includes $1 million annual life insurance premium payment by the university, which is entitled to reimbursement, plus interest, from the policy?s death benefits. Not included in these amounts is the value of a $780,000, interest-free mortgage loan the Tiger Athletic Foundation is providing in connection with Kelly?s purchase of a residence in the Baton Rouge area. Foundation is entitled to repayment of original loan amount, plus 20% of the increased value of the home at sale.",61738333,1325000,3481,-1,9975000,Kelly,LSU,Brian,SMG/sports_headshots/ncaaf/coach/brian_kelly_s.jpg,9975000,9975000,100000,2024,head,Southeastern Conference,CFB,8,Southeastern,SEC,Conference,Teams,2024-10-16T07:05:36.061001555Z,-1,-1,CoachesSalaries
581,581,"Total Pay includes $12,000 as value of car provided under outside arrangement, in addition to the two provided under contract with university. Car's value was shown as $12,000 on outside-income report Stoops signed in 2022; no value was shown for car on outside-income report Stoops signed in 2023.",44437500,3550000,3474,13600,9013600,Stoops,Kentucky,Mark,SMG/sports_headshots/ncaaf/coach/mark_stoops_s.jpg,9000000,9000000,200000,2024,head,Southeastern Conference,CFB,8,Southeastern,SEC,Conference,Teams,2024-10-16T07:05:36.0608333Z,-1,-1,CoachesSalaries
1466,1466,"School Pay includes $150,000 retention payment Kiffin will receive from Ole Miss Athletics Foundation if he remains school's head coach on Dec. 31, 2024. Bonuses and School Buyout would be paid by Ole Miss Athletics Foundation, which also paid bonuses to Kiffin for 2023-24 season under a separate contract with Kiffin that is set to expire on Dec. 31, 2029, two years after the scheduled end of Kiffin's contract with the university.",36590000,2600000,3482,-1,9000000,Kiffin,Ole Miss,Lane,SMG/sports_headshots/ncaaf/coach/lane_kiffin_s.jpg,9000000,9000000,800000,2024,head,Southeastern Conference,CFB,8,Southeastern,SEC,Conference,Teams,2024-10-16T07:05:36.061279742Z,-1,-1,CoachesSalaries
